target_ts_nanos,game_latency_ms,composite_latency_ms,encode_latency_ms,decode_latency_ms,network_latency_ms,decoder_queue_latency_ms,rendering_latency_ms,vsync_queue_latency_ms,total_MTP_latency_ms,enconded_frame_size_bytes,server_framerate_fps,client_framerate_fps,sending_bitrate_mbps,recving_bitrate_mbps,C,C_effective,gaze_variance_magnitude,fixation_confidence,experiment_target_timestamp
9669125973128,2.3143,3.5108,4.7945,5.074636,2.522589,15.3879175,2.678802,33.141846,69.42539,1605,68.25706,71.81434,,,80,65,19.738113800350064,0.05092501,20260313_175203
9669139868085,1.9449,1.8683001,7.3537,4.934948,5.102945,12.545679,1.801406,33.928787,69.48067,3387,70.993484,71.849495,,,80,65,19.084885792728983,0.049631894,20260313_175203
9669153709945,1.6229,1.7997999,5.3809,4.5748444,3.5076509,16.807346,2.6198962,33.240154,69.55349,3165,75.48309,71.805664,,,80,65,18.99211814787443,0.048407536,20260313_175203
9669167581719,2.3417,1.9737,7.4651,5.4724483,5.639971,10.948282,1.810104,33.91212,69.56343,2019,66.34467,71.98133,,,80,65,22.03241113129865,0.04978868,20260313_175203
9669181434246,1.6964,2.296,5.0638003,5.201459,3.169687,15.840001,2.079635,34.28579,69.632774,1856,74.96533,71.685814,,,80,65,24.750302807813704,0.05001971,20260313_175203
9669195433318,2.2521,2.8091002,5.038,5.350261,4.092468,13.708439,2.387448,33.86301,69.500824,2590,74.30635,71.81875,,,80,65,28.666143987898078,0.046386603,20260313_175203
9669209182008,2.513,4.1579,5.0831,5.5914593,3.442459,12.900417,2.024532,33.938854,69.65173,1405,70.36803,71.85729,,,80,65,33.794731407197396,0.038834494,20260313_175203
9669223135525,1.7456,1.9749,5.2932,5.001771,3.576718,15.83771,2.581042,33.3336,69.34454,2018,71.49445,71.97289,1.9308,,80,65,36.09724082634793,0.035413917,20260313_175204
9669236913472,2.0475001,3.0024002,5.7653,4.800469,3.121989,15.14995,2.141562,33.697807,69.726974,4308,76.66066,71.811195,,1.9308,80,65,39.49721108578744,0.02981371,20260313_175204
9669250775700,2.9979,2.4784,5.2983003,4.493854,3.08561,15.507658,1.899375,34.036724,69.79782,1892,67.17315,71.81994,,,80,65,42.88795919623127,0.026956184,20260313_175204
